id,grupo,cidade_id
1,1,3304557
2,1,3550308
3,1,1302603
4,1,5300108
5,2,1200401
6,2,2704302
7,2,1600303
8,2,2927408
9,2,2304400
10,2,3205309
11,2,5208707
12,2,2111300
13,2,5103403
14,2,5002704
15,2,3106200
16,2,1501402
17,2,2507507
18,2,4106902
19,2,2611606
20,2,2211001
21,2,2408102
22,2,4314902
23,2,1100205
24,2,1400100
25,2,4205407
26,2,2800308
27,2,1721000
